NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,ORBITAL_PERIOD,SEMI_MAJOR_AXIS,ORBITAL_VELOCITY,PERIGEE_ALTITUDE,APOGEE_ALTITUDE
16389,1754684353,13.76683284,0.0189727,71.0003,58.0831,265.8294,92.1106,1115.198,836.155,0.00014719,6275.953300526892,7353.811304823631,7.23091794077374,-5534.845,-5255.802
16390,1754669501,13.72644769,0.0204989,70.9727,200.1751,140.3654,221.2638,1141.134,839.053,6.9658e-05,6294.41804254601,7368.228209613994,7.2128059890974106,-5531.947,-5229.866
16391,1754691426,13.77124407,0.019103,70.9947,30.2241,286.1435,193.9277,1114.556,833.656,2.1683e-05,6273.942975727102,7352.240830146462,7.230748873435538,-5537.344,-5256.4439999999995
16392,1754677736,13.74943422,0.0199646,70.9691,93.1163,37.9988,31.3081,1128.818,834.939,0.00010545,6283.894931059935,7360.013703049962,7.22069682968542,-5536.061,-5242.182
16616,1754665346,14.30974983,0.0008942,98.2619,226.7537,80.6068,34.2806,794.884,782.067,0.00013133,6037.841403688607,7166.6107026042655,7.458577709579428,-5588.933,-5576.116
16715,1754670750,13.61327818,0.0007111,100.1068,22.5675,129.8579,247.2492,1036.141,1025.604,0.00027127,6346.744616365431,7409.007399755366,7.336658029033681,-5345.396,-5334.859
16809,1754668751,13.81690486,0.0046584,64.9867,231.2795,288.6682,180.132,992.073,923.725,8.3955e-06,6253.209447083072,7336.033905690137,7.344081649518017,-5447.275,-5378.927
16867,1754681710,15.03012442,0.0006404,74.0134,142.2535,126.7064,233.4713,562.057,553.174,0.00089755,5748.4554076632185,6935.750430660508,7.583868834279499,-5817.826,-5808.943
17000,1754658198,11.32662973,0.0710526,102.4588,336.083,123.6519,267.3863,2592.272,1402.096,-0.02778,7628.041355599253,8375.319285531054,6.43028501724466,-4968.904,-3778.728
17018,1754638523,12.47199216,0.0634754,66.0227,337.5122,214.7175,172.5104,1974.793,977.675,0.0036045,6927.521994208823,7854.368780653143,6.691218385880641,-5393.325,-4396.207
17023,1754562914,12.64572598,0.00510245,101.464,184.677,181.2201,304.725,1443.838,1364.421,0.0012045028,6832.347951920432,7782.264669002644,7.126857944807837,-5006.579,-4927.162
17024,1754676343,12.36316773,0.085546,29.4401,31.6079,214.8318,139.3223,2198.104,846.411,0.0046821,6988.500187564793,7900.392483022608,6.525239803470351,-5524.589,-4172.896000000001
17025,1754672447,13.81889906,0.0072899,82.8274,310.4152,208.9176,303.9728,1010.667,903.719,0.00055283,6252.307048836638,7335.328115229447,7.325133513868825,-5467.281,-5360.333
17035,1754672814,13.86443415,0.0040934,64.9915,208.604,339.4849,199.2602,971.084,911.163,-4.527e-06,6231.772538657844,7319.258319936342,7.356664738257752,-5459.8369999999995,-5399.916
17090,1754681028,13.84004613,0.0050498,65.8354,283.1771,190.8057,270.3694,986.723,912.715,5.9926e-05,6242.753758798346,7327.854140763507,7.345312115732468,-5458.285,-5384.277
17093,1754685744,12.98028817,0.0027158,90.2406,1.6466,128.9612,26.2418,1290.596,1249.055,-0.00016282,6656.246677149079,7647.960188427543,7.206456329393377,-5121.945,-5080.404
17102,1754661148,13.61022532,0.0083998,65.8323,225.9038,277.6106,168.8303,1094.224,969.737,4.6318e-05,6348.168231501402,7410.115283291359,7.279918480376041,-5401.263,-5276.776
17103,1754716124,13.77442084,0.002665,65.8271,190.3446,192.5015,190.2915,992.566,953.385,0.00029038,6272.496027499041,7351.110363937217,7.351171455289725,-5417.615,-5378.434
