NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR
37477,1754287831,14.19114712,0.0038537,98.6043,224.6191,122.3346,238.1571,856.122,800.579,0.00066139
37478,1754503082,13.02343934,0.0542704,99.6354,214.5701,253.7361,100.3412,1667.063,838.782,0.0025276
37483,1754708369,14.43272182,0.0093827,73.975,17.6286,253.7477,105.3341,814.569,680.85,0.00019663
37484,1754430848,14.40887304,0.0040015,73.8228,90.0856,150.2597,226.9904,784.116,727.025,0.0004852
37486,1754664544,14.11687666,0.0228777,73.6958,342.2872,229.1922,151.0288,1019.05,688.159,0.0019798
37487,1754635829,14.7372056,0.0029857,73.9087,81.9981,293.3734,66.4298,670.199,628.236,0.0015088
37491,1754652843,13.74801477,0.0316578,73.9044,125.6659,142.7344,219.6209,1215.403,749.367,0.00074964
37498,1752403222,14.53477805,0.0013574,74.037,111.7245,213.5889,146.4414,723.942,704.687,0.00058448
37499,1754689050,14.34186788,0.0029151,74.0367,192.5271,300.2728,59.554,798.632,756.912,0.00014361
37500,1754740196,16.03060584,0.0017172,73.9334,141.1282,311.8037,48.1735,277.36,254.541,0.00073495
37515,1754712962,15.06709495,0.0016947,74.1136,153.7431,76.6004,283.7074,558.0,534.53,0.0055532
37528,1754668911,14.49945559,0.00202,74.0387,358.9329,178.003,182.1215,740.178,711.478,0.00033361
37530,1754544523,14.34287495,0.0028286,74.0341,207.116,301.5903,70.6066,797.677,757.197,0.00016421
37532,1754692219,14.42122793,0.0016255,74.0495,88.8118,225.5988,150.5575,763.085,739.906,0.00017773
37533,1754717952,14.1119401,0.0160502,74.0664,52.8909,138.3337,223.0162,971.389,739.193,0.0012258
37535,1754673706,14.57267036,0.0027755,74.0258,313.3026,118.4282,34.0319,721.665,682.363,0.00048443
37537,1754699701,14.37259867,0.0052475,74.0118,136.7798,306.6987,52.935,805.065,730.071,0.00018694
37546,1754579708,14.75635653,0.0010407,74.0257,347.6749,61.0178,299.2038,650.443,635.829,0.0019737
37548,1754387093,14.49784746,0.0022894,86.3497,99.5997,268.2785,91.5797,742.619,710.089,0.00073481
37550,1754686290,14.64649379,0.0002858,86.3745,79.5469,145.8996,214.24,680.22,676.187,0.0010395
37562,1754561268,14.54736236,0.0024376,86.3732,99.0523,171.0928,7.3037,727.502,692.945,0.00068191
